Temps t / s;Tension U_B1 / V;Tension U_A1 / V
17,6;0,07965;8,62
17,62;0,0732;8,705
17,64;0,066;8,785
17,66;0,05835;8,855
17,68;0,0507;8,91
17,7;0,0426;8,96
17,72;0,0345;8,995
17,74;0,02595;9,025
17,76;0,0177;9,04
17,78;0,00945;9,05
17,8;0,00105;9,045
17,82;-0,0078;9,025
17,84;-0,0156;9
17,86;-0,0237;8,965
17,88;-0,03105;8,92
17,9;-0,039;8,87
17,92;-0,04695;8,8
17,94;-0,05385;8,725
17,96;-0,0603;8,645
17,98;-0,06645;8,56
18;-0,0732;8,46
18,02;-0,07785;8,36
18,04;-0,0822;8,245
18,06;-0,08685;8,14
18,08;-0,09195;8,015
18,1;-0,09615;7,89
18,12;-0,09855;7,76
18,14;-0,10095;7,63
18,16;-0,1032;7,495
18,18;-0,1062;7,36
18,2;-0,10815;7,22
18,22;-0,10995;7,075
18,24;-0,1113;6,93
18,26;-0,11175;6,79
18,28;-0,11205;6,645
18,3;-0,1128;6,495
18,32;-0,1143;6,355
18,34;-0,1152;6,2
18,36;-0,11535;6,055
18,38;-0,1149;5,905
18,4;-0,11625;5,755
18,42;-0,11745;5,605
18,44;-0,11745;5,455
18,46;-0,11715;5,305
18,48;-0,11745;5,15
18,5;-0,1176;5
18,52;-0,1179;4,845
18,54;-0,1182;4,695
18,56;-0,1188;4,545
18,58;-0,11865;4,39
18,6;-0,11925;4,24
18,62;-0,11895;4,085
18,64;-0,11865;3,93
18,66;-0,1188;3,78
18,68;-0,11895;3,625
18,7;-0,1182;3,475
18,72;-0,1176;3,325
18,74;-0,1173;3,175
18,76;-0,1161;3,025
18,78;-0,11475;2,88
18,8;-0,11235;2,73
18,82;-0,1101;2,595
18,84;-0,1083;2,455
18,86;-0,1053;2,32
18,88;-0,10125;2,19
18,9;-0,0975;2,065
18,92;-0,093;1,95
18,94;-0,0885;1,835
18,96;-0,0834;1,73
18,98;-0,0777;1,63
19;-0,07155;1,535
19,02;-0,06585;1,46
19,04;-0,0588;1,38
19,06;-0,0519;1,315
19,08;-0,0441;1,26
19,1;-0,0366;1,215
19,12;-0,02835;1,18
19,14;-0,02055;1,155
19,16;-0,01245;1,14
19,18;-0,00435;1,135
19,2;0,0036;1,14
19,22;0,01095;1,15
19,24;0,0186;1,18
19,26;0,02625;1,21
19,28;0,0345;1,255
19,3;0,042;1,31
19,32;0,04845;1,37
19,34;0,05505;1,44
19,36;0,0612;1,52
19,38;0,0678;1,605
19,4;0,0735;1,695
19,42;0,0774;1,795
19,44;0,08325;1,9
19,46;0,08775;2,01
19,48;0,0912;2,125
19,5;0,0942;2,24
19,52;0,0978;2,365
19,54;0,10035;2,49
19,56;0,10335;2,62
19,58;0,10515;2,755
19,6;0,1071;2,885
19,62;0,1083;3,025
19,64;0,10935;3,16
19,66;0,1104;3,3
19,68;0,11085;3,44
19,7;0,11205;3,58
19,72;0,1137;3,72
19,74;0,1143;3,865
19,76;0,11415;4,01
19,78;0,11415;4,15
19,8;0,11505;4,3
19,82;0,11595;4,445
19,84;0,11565;4,59
19,86;0,1152;4,73
19,88;0,1152;4,875
19,9;0,11565;5,02
19,92;0,1155;5,165
19,94;0,1167;5,315
19,96;0,1173;5,46
19,98;0,11745;5,61
20;0,11685;5,755
20,02;0,11655;5,9
20,04;0,11715;6,05
20,06;0,11805;6,195
20,08;0,11835;6,345
20,1;0,1176;6,49
20,12;0,11625;6,635
20,14;0,11595;6,785
20,16;0,1155;6,93
20,18;0,1143;7,07
20,2;0,11265;7,215
20,22;0,1113;7,345
20,24;0,10935;7,49
20,26;0,1071;7,63
20,28;0,10395;7,755
20,3;0,10035;7,88
20,32;0,0963;8,005
20,34;0,09315;8,115
20,36;0,0885;8,225
20,38;0,084;8,33
20,4;0,07815;8,425
20,42;0,07245;8,52
20,44;0,06645;8,6
20,46;0,06;8,67
20,48;0,0531;8,74
20,5;0,04605;8,79
20,52;0,039;8,835
20,54;0,03135;8,875
20,56;0,024;8,9
20,58;0,01635;8,92
20,6;0,0081;8,93
20,62;0,0003;8,925
